,Task,MaxPointInContest,ParticipantsCount,ACCount,TotalPointInContest,DifficultyMultiplier
191,fc073_dance,50.0,79.0,38,2780.0,1.5
192,fc073_exam,50.0,79.0,78,3900.0,1.5
193,fc073_flip,50.0,79.0,5,380.0,1.5
194,fc073_font,50.0,79.0,16,1065.0,1.5
195,fc073_group,50.0,79.0,29,1450.0,1.5
196,fc075_evenpal,50.0,68.0,55,2815.0,1.5
197,fc075_fprime,50.0,68.0,31,1880.0,1.5
198,fc075_numbers,50.0,68.0,29,1605.0,1.5
199,fc075_range,50.0,68.0,18,1014.0,1.5
200,fc075_stone,50.0,68.0,1,219.0,1.5
201,fc075_string,50.0,68.0,4,352.0,1.5
202,fc076_grcolor,50.0,52.0,1,258.0,1.5
203,fc076_number,50.0,52.0,37,1974.0,1.5
204,fc076_path,50.0,52.0,10,662.0,1.5
205,fc076_reflect,50.0,52.0,10,548.0,1.5
206,fc076_seq14,50.0,52.0,9,633.0,1.5
207,fc_pretst2018_2_audition,50.0,17.0,14,713.0,2.0
208,fc_pretst2018_2_city,50.0,17.0,8,465.0,2.0
209,fc_pretst2018_2_lis,50.0,17.0,10,520.0,2.0
210,fc_pretst2018_2_muldigits,50.0,17.0,2,290.0,2.0
211,fc078_cakes,50.0,68.0,9,1476.0,1.5
212,fc078_incequal,50.0,68.0,61,3190.0,1.5
213,fc078_lamest,50.0,68.0,3,353.0,1.5
214,fc078_lights,50.0,68.0,11,919.0,1.5
215,fc078_xorsum,50.0,68.0,47,2928.0,1.5
216,fc079_fbi,50.0,40.0,1,105.0,1.5
217,fc079_mokim,50.0,40.0,0,44.0,1.5
218,fc079_palagain,50.0,40.0,5,529.0,1.5
219,fc079_powstr,50.0,40.0,0,55.0,1.5
220,fc079_roadrail,50.0,40.0,8,505.0,1.5
221,fc081_diving,50.0,71.0,2,417.0,1.5
222,fc081_pairequa,50.0,71.0,49,2792.0,1.5
223,fc081_seq51,50.0,71.0,55,2909.0,1.5
224,fc081_tket,50.0,71.0,7,611.0,1.5
225,fc081_transform,50.0,71.0,28,2071.0,1.5
226,fct002_2_lights,50.0,75.0,53,2997.0,1.5
227,fct002_2_lineshop,50.0,75.0,17,1230.0,1.5
228,fct002_2_mindist,50.0,75.0,13,954.0,1.5
229,fct002_2_tamtam,50.0,75.0,48,2607.0,1.5
230,fct002_2_tree,50.0,75.0,3,298.0,1.5
231,fc082_cakes,50.0,68.0,9,1476.0,1.5
232,fc082_incequal,50.0,68.0,61,3190.0,1.5
233,fc082_lamest,50.0,68.0,3,353.0,1.5
234,fc082_lights,50.0,68.0,11,919.0,1.5
235,fc082_xorsum,50.0,68.0,47,2928.0,1.5
236,fc085_child,50.0,90.0,85,4316.0,1.5
237,fc085_gpmb,50.0,90.0,5,535.0,1.5
238,fc085_growing,50.0,90.0,2,261.0,1.5
239,fc085_qsum,50.0,90.0,86,4300.0,1.5
240,fc085_uetacm,50.0,90.0,16,1254.0,1.5
241,fc086_abcd,50.0,72.0,16,950.0,1.5
242,fc086_f7,50.0,72.0,51,2650.0,1.5
243,fc086_ranking,50.0,72.0,65,3275.0,1.5
244,fc086_rrace,50.0,72.0,5,258.0,1.5
245,fc086_judger,50.0,72.0,11,580.0,1.5
246,fct003_digitsum,50.0,60.0,20,1651.0,1.5
247,fct003_fish,50.0,60.0,3,338.0,1.5
248,fct003_justabc,50.0,60.0,23,1857.0,1.5
249,fct003_post3,50.0,60.0,8,431.0,1.5
250,fct003_route,50.0,60.0,0,89.0,1.5
251,fc088_boxes,50.0,90.0,25,1950.0,1.5
252,fc088_fcity,50.0,90.0,3,213.0,1.5
253,fc088_present,50.0,90.0,3,160.0,1.5
254,fc088_table,50.0,90.0,27,1534.0,1.5
255,fc088_seq49,50.0,90.0,61,3286.0,1.5
256,fcb001_c3,50.0,0.0,0,0.0,0.75
257,fcb001_color,50.0,0.0,0,0.0,0.75
258,fcb001_height,50.0,0.0,0,0.0,0.75
259,fcb001_ksum,50.0,0.0,0,0.0,0.75
260,fcb001_maxsum,50.0,0.0,0,0.0,0.75
261,fc089_antiprime,50.0,0.0,0,0.0,1.5
262,fc089_connect,50.0,0.0,0,0.0,1.5
263,fc089_dauxe,50.0,0.0,0,0.0,1.5
264,fc089_linecity,50.0,0.0,0,0.0,1.5
265,fc089_maze,50.0,0.0,0,0.0,1.5
266,fc090_combcal,50.0,62.0,0,0.0,1.5
267,fc090_coprime,50.0,62.0,0,232.0,1.5
268,fc090_divcan,50.0,62.0,9,965.0,1.5
269,fc090_nemgame,50.0,62.0,25,1404.0,1.5
270,fc090_politics,50.0,62.0,2,109.0,1.5
271,fcb002_interactive,50.0,81.0,5,1050.0,0.75
272,fcb002_makerect,50.0,81.0,56,3084.0,0.75
273,fcb002_candy,50.0,81.0,62,3145.0,0.75
274,fcb002_demso,50.0,81.0,66,3325.0,0.75
275,fcb002_square,50.0,81.0,2,374.0,0.75
276,fc092_bquery,50.0,52.0,19,1345.0,1.5
277,fc092_hyvong,50.0,52.0,14,798.0,1.5
278,fc092_hacker,50.0,52.0,10,506.0,1.5
279,fc092_vanchuyen,50.0,52.0,12,1050.0,1.5
280,fc092_cute,50.0,52.0,8,766.0,1.5
281,fcc2018_fccup18,100.0,221.0,220,22060.0,2.0
282,fcc2018_fliprow,100.0,221.0,18,4240.0,2.0
283,fcc2018_purple,100.0,221.0,4,2425.0,2.0
284,fcc2018_segment,100.0,221.0,6,2890.0,2.0
285,fcc2018_valuestr,100.0,221.0,125,16646.0,2.0
286,fc093_adistinct,50.0,85.0,0,144.0,1.5
287,fc093_claus,50.0,85.0,16,1224.0,1.5
288,fc093_invoke,50.0,85.0,29,1595.0,1.5
289,fc093_jam,50.0,85.0,1,446.0,1.5
290,fc093_santa,50.0,85.0,73,3734.0,1.5
291,fc100_fc100,100.0,343.0,320,32000.0,1.5
292,fc100_move,100.0,343.0,316,32420.0,1.5
293,fc100_beautarr,100.0,343.0,237,25690.0,1.5
294,fc100_haiqua,100.0,343.0,63,10398.0,1.5
295,fc100_treetrip,100.0,343.0,5,3019.0,1.5
296,fc100_champion,100.0,343.0,14,3922.0,1.5
297,fc100_gridcolor,100.0,343.0,11,2539.0,1.5
298,fc100_goodarr,100.0,343.0,14,3416.0,1.5
299,fc100_ninjaset,100.0,343.0,6,1304.0,1.5
300,fc100_stdecomp,100.0,343.0,0,707.0,1.5
301,fc101_choosefibo,50.0,82.0,10,865.0,1.5
302,fc101_fcgift,50.0,82.0,0,20.0,1.5
303,fc101_bank,50.0,82.0,26,2530.0,1.5
304,fc101_once,50.0,82.0,78,3900.0,1.5
305,fc101_sumfrac,50.0,82.0,5,325.0,1.5
306,fcb015_cprefix,50.0,74.0,14,1405.0,0.75
307,fcb015_binhluan,50.0,74.0,0,97.0,0.75
308,fcb015_mdist,50.0,74.0,66,3300.0,0.75
309,fcb015_tabwalk,50.0,74.0,52,2880.0,0.75
310,fcb015_char,50.0,74.0,71,3550.0,0.75
311,fc111_spacetravel,50.0,31.0,0,89.0,1.5
312,fc111_palincount,50.0,31.0,26,1400.0,1.5
313,fc111_calplus,50.0,31.0,1,145.0,1.5
314,fc111_city,50.0,31.0,0,188.0,1.5
315,fc111_curling,50.0,31.0,8,429.0,1.5
316,fct008_xormatrix,50.0,25.0,8,415.0,1.5
317,fct008_lis,50.0,25.0,3,180.0,1.5
318,fct008_linecity,50.0,25.0,15,870.0,1.5
319,fct008_electric,50.0,25.0,5,250.0,1.5
320,fct008_avg3num,50.0,25.0,23,1150.0,1.5
321,fct010_product,50.0,41.0,41,2050.0,1.5
322,fct010_fish,50.0,41.0,5,335.0,1.5
323,fct010_filedel,50.0,41.0,23,1270.0,1.5
324,fct010_evenpal,50.0,41.0,28,1440.0,1.5
325,fct010_build,50.0,41.0,7,375.0,1.5
326,fc122_specpair,50.0,30.0,19,1140.0,1.5
327,fc122_kingdom,50.0,30.0,1,241.0,1.5
328,fc122_english,50.0,30.0,15,1096.0,1.5
329,fc122_scount,50.0,30.0,4,200.0,1.5
330,fc122_labels,50.0,30.0,11,821.0,1.5
331,fct011_garden,50.0,35.0,11,726.0,1.5
332,fct011_hop,50.0,35.0,33,1650.0,1.5
333,fct011_connect,50.0,35.0,2,160.0,1.5
334,fct011_absmin,50.0,35.0,25,1370.0,1.5
335,fct011_bquery2,50.0,35.0,3,180.0,1.5
336,fcb027_chess,50.0,43.0,1,55.0,0.75
337,fcb027_dgame,50.0,43.0,1,104.0,0.75
338,fcb027_tower,50.0,43.0,33,1675.0,0.75
339,fcb027_chiakeo,50.0,43.0,5,405.0,0.75
340,fcb027_divcandy,50.0,43.0,43,2150.0,0.75
341,fct012_xor2seq,50.0,36.0,8,550.0,1.5
342,fct012_roadrail,50.0,36.0,7,395.0,1.5
343,fct012_move,50.0,36.0,28,1516.0,1.5
344,fct012_dollbox,50.0,36.0,10,650.0,1.5
345,fct012_distsum,50.0,36.0,19,1265.0,1.5
346,fct013_aquery,50.0,45.0,5,460.0,1.5
