Task,VNOJOriginal,JRatingM,DeltaToVNOJ
fct003_justabc,0.57,0.43,-0.14
fct003_post3,1.28,0.83,-0.45
fct003_route,1.45,1.5,0.05
fct008_avg3num,0.31,0.11,-0.2
fct008_electric,1.2,0.7,-0.5
fct008_linecity,0.46,0.25,-0.21
fct008_lis,1.28,0.87,-0.41
fct008_xormatrix,1,0.51,-0.49
fct010_build,0.8,0.83,0.03
fct010_evenpal,0.8,0.29,-0.51
fct010_filedel,0.8,0.37,-0.43
fct010_fish,0.8,0.94,0.14
fct010_product,0.1,0.16,0.06
fct011_absmin,0.8,0.28,-0.52
fct011_bquery2,0.8,1.07,0.27
fct011_connect,0.8,1.18,0.38
fct011_garden,0.8,0.62,-0.18
fct011_hop,0.8,0.19,-0.61
fct012_distsum,0.8,0.35,-0.45
fct012_dollbox,0.8,0.62,-0.18
fct012_move,0.8,0.21,-0.59
fct012_roadrail,0.8,0.76,-0.04
fct012_xor2seq,0.8,0.71,-0.09
fct013_aquery,0.8,0.88,0.08
fct013_areasum,0.8,0.42,-0.38
fct013_function,0.8,0.09,-0.71
fct013_roadrail2,0.8,1.5,0.7
fct013_robot,0.8,0.28,-0.52
fct014_beautarr,0.8,0.28,-0.52
fct014_minrect,0.8,0.13,-0.67
fct014_orandarray,0.8,0.8,0
fct014_ribgame,0.7,0.71,0.01
fct014_spacetravel,0.8,1.32,0.52
fct016_aquery2,0.31,0.13,-0.18
fct016_cprefix,0.8,0.43,-0.37
fct016_mwpath,1.29,1.05,-0.24
fct016_taskset,0.41,0.2,-0.21
fct016_warp,1.26,0.79,-0.47
fct017_dsum,0.31,0.06,-0.25
fct017_giangseq,1.37,1.09,-0.28
fct017_grcolor,1.2,1.04,-0.16
fct017_height,0.43,0.2,-0.23
fct017_seq3n,0.96,0.57,-0.39
fct018_actor,0.5,0.51,0.01
fct018_fliprow,0.5,1.33,0.83
fct018_grcolor2,0.5,1.33,0.83
fct018_nytravel,0.5,0.36,-0.14
fct018_sub,0.5,0.23,-0.27
